filename,predicted_is_illegal,illegal_probability,is_illegal
session_8833850952,1.0,0.6740654761904762,1
session_3379861047,1.0,0.6567738095238096,1
session_2368259027,1.0,0.827375,1
session_8627857957,1.0,0.5624523809523809,1
session_8687623726,1.0,0.8386309523809524,1
session_5938861210,0.0,0.09394841269841268,0
session_5982655120,0.0,0.07757738095238095,0
session_0799578885,0.0,0.2687876984126984,0
session_9086606611,0.0,0.33056944444444447,0
session_5205618080,1.0,0.9143412698412697,1
session_4339216244,0.0,0.10795833333333336,0
session_4804227584,0.0,0.09567857142857143,0
session_5340758381,0.0,0.2660119047619047,0
session_6710819502,0.0,0.15088095238095234,0
session_0101735014,0.0,0.04658333333333333,0
session_8348355115,0.0,0.11957738095238094,0
session_5453779030,1.0,0.6330357142857141,1
session_9708106289,1.0,0.9383333333333335,1
session_9646127676,1.0,0.8659880952380952,1
session_2320125003,0.0,0.48871428571428566,1
session_2532367006,0.0,0.10723809523809524,0
session_2336058051,1.0,0.8835000000000001,1
session_1273150073,0.0,0.2041666666666667,0
session_5445638904,1.0,0.8036468253968255,1
session_2861116304,0.0,0.07451785714285714,0
session_0593223632,0.0,0.22216071428571424,0
session_7259628766,0.0,0.0945595238095238,0
session_9064183032,0.0,0.078,0
session_6706849000,1.0,0.8167738095238096,1
session_3684692596,0.0,0.297681277056277,0
session_3659572440,0.0,0.09051190476190478,0
session_3236365486,1.0,0.6181527777777778,1
session_7589485664,0.0,0.18326190476190474,0
session_8658186994,1.0,0.9525833333333332,1
session_9160177818,1.0,0.8304642857142858,1
session_6555326593,0.0,0.16212557603686636,0
session_0379715237,0.0,0.12719444444444444,0
session_1924699326,0.0,0.105734126984127,0
session_3005678154,1.0,0.7662023809523808,1
session_1468258531,0.0,0.12072817460317459,0
session_1311858241,0.0,0.2543749999999999,0
session_9753314758,1.0,0.8597142857142858,1
session_3482932637,0.0,0.09625,0
session_5321706137,0.0,0.058805555555555555,0
session_5291244662,0.0,0.22390476190476194,0
session_0512046694,1.0,0.8659880952380954,1
session_1868010893,0.0,0.05972619047619048,0
session_9740386657,0.0,0.055249999999999994,0
session_4254477956,1.0,0.8177500000000001,1
session_9395770534,0.0,0.13115476190476189,0
session_9877366244,0.0,0.2823333333333333,0
session_2977418379,1.0,0.8252380952380952,1
session_4026966824,1.0,0.7468690476190476,1
session_4098547958,1.0,0.5583630952380952,1
session_3974162531,1.0,0.8037420634920633,1
session_2494483407,0.0,0.13182142857142856,0
session_0770188364,0.0,0.26059956709956705,0
session_6119506741,1.0,0.9800714285714285,1
session_5572048254,1.0,0.8917202380952383,1
session_1484409764,0.0,0.21485714285714289,0
session_6835145359,0.0,0.3638472222222222,0
session_5030324559,1.0,0.8312301587301587,1
session_4238071281,0.0,0.19613095238095243,0
session_0844521549,0.0,0.15170833333333333,0
session_9794510496,0.0,0.28580414746543786,0
session_5197680121,1.0,0.5525238095238095,1
session_0155746039,0.0,0.10287499999999998,0
session_0482518942,0.0,0.32505952380952385,0
session_8819855375,1.0,0.9587321428571428,1
session_6100708780,0.0,0.21954761904761902,0
session_3726985009,0.0,0.4925853174603176,0
session_3573257812,0.0,0.2883095238095238,0
session_2683617861,0.0,0.30289285714285724,0
session_1976172513,1.0,0.7493333333333334,1
session_5823371082,0.0,0.19605357142857144,0
session_5576759361,0.0,0.3150952380952381,0
session_9830083627,1.0,0.8983333333333333,1
session_2926423726,0.0,0.18999999999999992,0
session_4794437261,1.0,0.9083571428571426,1
session_1619535766,0.0,0.03358333333333333,0
session_2636442787,0.0,0.21515313852813855,0
session_3348997730,0.0,0.2496369047619048,0
session_0005840196,0.0,0.16846874999999997,0
session_9477322863,0.0,0.17179761904761903,0
session_8653789319,1.0,0.8201130952380953,1
session_8115384066,0.0,0.2765082972582974,0
session_8364143294,1.0,0.9255238095238097,1
session_9919383972,0.0,0.15567857142857142,0
session_0953745782,1.0,0.8334761904761904,1
session_0668352196,0.0,0.4502023809523809,1
session_0408822104,1.0,0.6914305555555554,1
session_4506008213,0.0,0.2904264069264069,0
session_8389698709,0.0,0.30060912698412695,0
session_8823455059,1.0,0.5998333333333333,1
session_4600074976,0.0,0.2627519841269841,0
session_2083267904,0.0,0.18885714285714283,0
session_8862058156,1.0,0.6291547619047618,1
session_8811009703,0.0,0.3244821428571428,0
session_5771275112,0.0,0.12579761904761905,0
session_8439483653,0.0,0.1840974025974026,0
session_4615055511,1.0,0.8963392857142857,1
session_8070684894,1.0,0.8285992063492064,1
session_1653923890,0.0,0.2923690476190477,0
session_0064281061,1.0,0.9498690476190476,1
session_5889567297,1.0,0.8659821428571429,1
session_8069308945,0.0,0.10176785714285713,0
session_3780421656,0.0,0.18095833333333336,0
session_2853115772,1.0,0.6601287878787879,1
session_1427407488,0.0,0.1686011904761905,0
session_5556934089,1.0,0.8084999999999998,1
session_0148970615,0.0,0.315625,0
session_3735635217,0.0,0.18232795698924728,0
session_3071944492,0.0,0.13591269841269843,0
session_3206758270,0.0,0.1933690476190476,0
session_2194913037,0.0,0.4848928571428571,0
session_1271171766,1.0,0.9439880952380952,1
session_8770654755,0.0,0.18638095238095237,0
session_3067782503,0.0,0.13564285714285718,0
session_1667382627,0.0,0.2647261904761905,0
session_0083463746,0.0,0.4093214285714286,0
session_9705613967,0.0,0.17704004329004328,0
session_5685066201,0.0,0.06883333333333333,0
session_5968190840,0.0,0.13070238095238096,0
session_3583196291,0.0,0.23595670995670998,0
session_5319036655,0.0,0.14897619047619046,0
session_6915176151,0.0,0.13583333333333333,0
session_4432555629,1.0,0.7893392857142857,1
session_1717253391,0.0,0.11733928571428569,0
session_6179037141,1.0,0.9446547619047618,1
session_8636893699,0.0,0.333232142857143,0
session_0025450757,0.0,0.18664484126984124,0
session_8776482178,0.0,0.16503571428571426,0
session_1256331958,0.0,0.4091791474654378,0
session_6775680298,0.0,0.31938690476190484,0
session_8583637812,0.0,0.3792202380952381,0
session_3656309644,1.0,0.6643333333333336,1
session_8857212561,1.0,0.5874801587301588,1
session_4224530762,0.0,0.20356746031746034,0
session_5127880135,0.0,0.2461190476190476,0
session_6088382546,0.0,0.14054166666666668,0
session_0223955219,0.0,0.32963690476190466,0
session_0859353781,1.0,0.8656527777777778,1
session_3367539943,0.0,0.24158928571428562,0
session_8884379611,0.0,0.4038035714285715,0
session_4360886220,0.0,0.18039484126984123,0
session_5041518490,1.0,0.778135416666667,1
session_7618706636,0.0,0.15179166666666669,0
